,Country,Independence,Independence From,Main Colonial Power,Continent
0,Afghanistan,1919,United Kingdom,United Kingdom,Asia
1,Albania,1912,Ottoman Empire,Not Colonized,Europe
2,Algeria,1962,France,France,Africa
3,Andorra,1814,France,Not Colonized,Europe
4,Angola,1975,Portugal,Portugal,Africa
5,Antigua and Barbuda,1981,United Kingdom,United Kingdom,America
6,Argentina,1816,Spain,Spain,America
7,Armenia,1991,Soviet Union,Not Colonized,Asia
8,Australia,1986,United Kingdom,United Kingdom,Oceania
9,Austria,1945,Germany,Not Colonized,Europe
10,Azerbaijan,1991,Soviet Union,Russia,Asia
11,Bahamas,1973,United Kingdom,United Kingdom,America
12,Bahrain,1971,United Kingdom,United Kingdom,Asia
13,Bangladesh,1971,Pakistan,United Kingdom,Asia
14,Barbados,1966,United Kingdom,United Kingdom,America
15,Belarus,1991,Soviet Union,Not Colonized,Europe
16,Belgium,1830,Netherlands,Not Colonized,Europe
17,Belize,1981,United Kingdom,United Kingdom,America
18,Benin,1960,France,France,Africa
19,Bhutan,Not Colonized,Not Colonized,Not Colonized,Asia
20,Venezuela,1821,Spain,Spain,America
21,Bosnia and Herzegovina,1992,Yugoslavia,Not Colonized,Europe
22,Botswana,1966,United Kingdom,United Kingdom,Africa
23,Brazil,1822,Portugal,Portugal,America
24,Brunei,1984,United Kingdom,United Kingdom,Asia
25,Bulgaria,1908,Ottoman Empire,Not Colonized,Europe
26,Burkina Faso,1960,France,France,Africa
27,Burundi,1962,Belgium,Germany,Africa
28,Cabo Verde,1975,Portugal,Portugal,Africa
29,Cambodia,1953,France,France,Asia
30,Cameroon,1960,France,Germany,Africa
31,Canada,1982,United Kingdom,United Kingdom,America
32,Central African Republic,1960,France,France,Africa
33,Chad,1960,France,France,Africa
34,Chile,1818,Spain,Spain,America
35,China,Not Colonized,Not Colonized,Not Colonized,Asia
36,Colombia,1810,Spain,Spain,America
37,Comoros,1975,France,France,Africa
38,Republic of the Congo,1960,France,France,Africa
39,Costa Rica,1821,Spain,Spain,America
40,Croatia,1991,Yugoslavia,Not Colonized,Europe
41,Cuba,1902,United States,Spain,America
42,Cyprus,1960,United Kingdom,United Kingdom,Asia
43,Czechia,1993,Czechoslovakia,Not Colonized,Europe
44,Côte d'Ivoire,1960,France,France,Africa
45,North Korea,1948,Japan,Not Colonized,Asia
46,Democratic Republic of the Congo,1960,Belgium,Belgium,Africa
47,Denmark,Not Colonized,Not Colonized,Not Colonized,Europe
48,Djibouti,1977,France,France,Africa
49,Dominica,1978,United Kingdom,United Kingdom,America
50,Dominican Republic,1821,Spain,Spain,America
51,Ecuador,1822,Spain,Spain,America
52,Egypt,1922,United Kingdom,United Kingdom,Africa
53,El Salvador,1821,Spain,Spain,America
54,Equatorial Guinea,1968,Spain,Spain,Africa
55,Eritrea,1993,Ethiopia,Italy,Africa
56,Estonia,1991,Soviet Union,Not Colonized,Europe
57,Eswatini,1968,United Kingdom,United Kingdom,Africa
58,Ethiopia,Not Colonized,Not Colonized,Not Colonized,Africa
59,Federated States of Micronesia,1986,United States,Spain,Oceania
60,Fiji,1970,United Kingdom,United Kingdom,Oceania
61,Finland,1918,Soviet Union,Not Colonized,Europe
62,France,Not Colonized,Not Colonized,Not Colonized,Europe
63,Gabon,1960,France,France,Africa
64,Gambia,1965,United Kingdom,United Kingdom,Africa
65,Georgia,1991,Soviet Union,Russia,Asia
66,Germany,Not Colonized,Not Colonized,Not Colonized,Europe
67,Ghana,1957,United Kingdom,United Kingdom,Africa
68,Greece,1822,Ottoman Empire,Not Colonized,Europe
69,Grenada,1974,United Kingdom,United Kingdom,America
70,Guatemala,1821,Spain,Spain,America
71,Guinea,1958,France,France,Africa
72,Guinea-Bissau,1974,Portugal,Portugal,Africa
73,Guyana,1966,United Kingdom,United Kingdom,America
74,Haiti,1804,France,France,America
75,Honduras,1821,Spain,Spain,America
76,Hungary,1920,Austria-Hungary,Not Colonized,Europe
77,Iceland,1944,Denmark,Norway,Europe
78,India,1947,United Kingdom,United Kingdom,Asia
79,Indonesia,1949,Netherlands,Netherlands,Asia
80,Iraq,1932,United Kingdom,United Kingdom,Asia
81,Ireland,1949,United Kingdom,United Kingdom,Europe
82,Iran,Not Colonized,Not Colonized,Not Colonized,Asia
83,Israel,1948,United Kingdom,United Kingdom,Asia
84,Italy,Not Colonized,Not Colonized,Not Colonized,Europe
85,Jamaica,1962,United Kingdom,United Kingdom,America
86,Japan,Not Colonized,Not Colonized,Not Colonized,Asia
87,Jordan,1946,United Kingdom,United Kingdom,Asia
88,Kazakhstan,1991,Soviet Union,Russia,Asia
89,Kenya,1963,United Kingdom,United Kingdom,Africa
90,Kiribati,1979,United Kingdom,United Kingdom,Oceania
91,Kuwait,1961,United Kingdom,United Kingdom,Asia
92,Kyrgyzstan,1991,Soviet Union,Russia,Asia
93,Laos,1953,France,France,Asia
94,Latvia,1990,Soviet Union,Not Colonized,Europe
95,Lebanon,1943,France,France,Asia
96,Lesotho,1966,United Kingdom,United Kingdom,Africa
97,Liberia,1847,United States,United States,Africa
98,Libya,1951,Italy,Italy,Africa
