Country,Independence,Independence From,Main Colonial Power,Continent
Afghanistan,1919,United Kingdom,United Kingdom,Asia
Albania,1912,Ottoman Empire,Not Colonized,Europe
Algeria,1962,France,France,Africa
Andorra,1814,France,Not Colonized,Europe
Angola,1975,Portugal,Portugal,Africa
Antigua and Barbuda,1981,United Kingdom,United Kingdom,America
Argentina,1816,Spain,Spain,America
Armenia,1991,Soviet Union,Not Colonized,Asia
Australia,1986,United Kingdom,United Kingdom,Oceania
Austria,1945,Germany,Not Colonized,Europe
Azerbaijan,1991,Soviet Union,Russia,Asia
Bahamas,1973,United Kingdom,United Kingdom,America
Bahrain,1971,United Kingdom,United Kingdom,Asia
Bangladesh,1971,Pakistan,United Kingdom,Asia
Barbados,1966,United Kingdom,United Kingdom,America
Belarus,1991,Soviet Union,Not Colonized,Europe
Belgium,1830,Netherlands,Not Colonized,Europe
Belize,1981,United Kingdom,United Kingdom,America
Benin,1960,France,France,Africa
Bhutan,Not Colonized,Not Colonized,Not Colonized,Asia
Bolivia,1825,Spain,Spain,America
Bosnia and Herzegovina,1992,Yugoslavia,Not Colonized,Europe
Botswana,1966,United Kingdom,United Kingdom,Africa
Brazil,1822,Portugal,Portugal,America
Brunei,1984,United Kingdom,United Kingdom,Asia
Bulgaria,1908,Ottoman Empire,Not Colonized,Europe
Burkina Faso,1960,France,France,Africa
Burundi,1962,Belgium,Germany,Africa
Cabo Verde,1975,Portugal,Portugal,Africa
Cambodia,1953,France,France,Asia
Cameroon,1960,France,Germany,Africa
Canada,1982,United Kingdom,United Kingdom,America
Central African Republic,1960,France,France,Africa
Chad,1960,France,France,Africa
Chile,1818,Spain,Spain,America
China,Not Colonized,Not Colonized,Not Colonized,Asia
Colombia,1810,Spain,Spain,America
Comoros,1975,France,France,Africa
Costa Rica,1821,Spain,Spain,America
Croatia,1991,Yugoslavia,Not Colonized,Europe
Cuba,1902,United States,Spain,America
Cyprus,1960,United Kingdom,United Kingdom,Asia
Czechia,1993,Czechoslovakia,Not Colonized,Europe
Côte d'Ivoire,1960,France,France,Africa
Democratic Republic of the Congo,1960,Belgium,Belgium,Africa
Denmark,Not Colonized,Not Colonized,Not Colonized,Europe
Djibouti,1977,France,France,Africa
Dominica,1978,United Kingdom,United Kingdom,America
Dominican Republic,1821,Spain,Spain,America
Ecuador,1822,Spain,Spain,America
Egypt,1922,United Kingdom,United Kingdom,Africa
El Salvador,1821,Spain,Spain,America
Equatorial Guinea,1968,Spain,Spain,Africa
Eritrea,1993,Ethiopia,Italy,Africa
Estonia,1991,Soviet Union,Not Colonized,Europe
Eswatini,1968,United Kingdom,United Kingdom,Africa
Ethiopia,Not Colonized,Not Colonized,Not Colonized,Africa
Federated States of Micronesia,1986,United States,Spain,Oceania
Fiji,1970,United Kingdom,United Kingdom,Oceania
Finland,1918,Soviet Union,Not Colonized,Europe
France,Not Colonized,Not Colonized,Not Colonized,Europe
Gabon,1960,France,France,Africa
Gambia,1965,United Kingdom,United Kingdom,Africa
Georgia,1991,Soviet Union,Russia,Asia
Germany,Not Colonized,Not Colonized,Not Colonized,Europe
Ghana,1957,United Kingdom,United Kingdom,Africa
Greece,1822,Ottoman Empire,Not Colonized,Europe
Grenada,1974,United Kingdom,United Kingdom,America
Guatemala,1821,Spain,Spain,America
Guinea,1958,France,France,Africa
Guinea-Bissau,1974,Portugal,Portugal,Africa
Guyana,1966,United Kingdom,United Kingdom,America
Haiti,1804,France,France,America
Honduras,1821,Spain,Spain,America
Hungary,1920,Austria-Hungary,Not Colonized,Europe
Iceland,1944,Denmark,Norway,Europe
India,1947,United Kingdom,United Kingdom,Asia
Indonesia,1949,Netherlands,Netherlands,Asia
Iran,Not Colonized,Not Colonized,Not Colonized,Asia
Iraq,1932,United Kingdom,United Kingdom,Asia
Ireland,1949,United Kingdom,United Kingdom,Europe
Israel,1948,United Kingdom,United Kingdom,Asia
Italy,Not Colonized,Not Colonized,Not Colonized,Europe
Jamaica,1962,United Kingdom,United Kingdom,America
Japan,Not Colonized,Not Colonized,Not Colonized,Asia
Jordan,1946,United Kingdom,United Kingdom,Asia
Kazakhstan,1991,Soviet Union,Russia,Asia
Kenya,1963,United Kingdom,United Kingdom,Africa
Kiribati,1979,United Kingdom,United Kingdom,Oceania
Kuwait,1961,United Kingdom,United Kingdom,Asia
Kyrgyzstan,1991,Soviet Union,Russia,Asia
Laos,1953,France,France,Asia
Latvia,1990,Soviet Union,Not Colonized,Europe
Lebanon,1943,France,France,Asia
Lesotho,1966,United Kingdom,United Kingdom,Africa
Liberia,1847,United States,United States,Africa
